#Session,ID,Occasion,Detector,Sex
Boland,BM9,12,L10-1.Gevonden,M
Boland,BM7,24,L10-1.Gevonden,M
Boland,Partial ID2,50,L10-1.Gevonden,F
Boland,BM9,104,L10-1.Gevonden,M
Boland,BM9,118,L10-1.Gevonden,M
Boland,BM9,14,L10-2.Tstelkloof,M
Boland,BM9,54,L10-2.Tstelkloof,M
Boland,BM9,82,L10-2.Tstelkloof,M
Boland,BM9,106,L10-2.Tstelkloof,M
Boland,BM10,118,L10-2.Tstelkloof,M
Boland,BF2,4,L1-2.PBlanc,F
Boland,BM7,1,L12-1.Bvlei,M
Boland,BM7,81,L12-1.Bvlei,M
Boland,Partial ID1,30,L13-1.OGlen,F
Boland,BM4,43,L13-1.OGlen,M
Boland,BF1,92,L13-2.Zhoek.N,F
Boland,BM4,6,L14-2.Whoek.Dstein,M
Boland,BF1,35,L14-2.Whoek.Dstein,F
Boland,BF1,80,L14-2.Whoek.Dstein,F
Boland,BM10,79,L15-1.Fkraal.Croad,M
Boland,BM10,106,L15-1.Fkraal.Croad,M
Boland,BM10,111,L15-1.Fkraal.Croad,M
Boland,BM10,41,L15-2.Fkraal.Evlakte,M
Boland,BM10,74,L15-2.Fkraal.Evlakte,M
Boland,BM5,103,L16-2.Skloof,M
Boland,BM5,91,L17-2.Dberg,M
Boland,BM5,99,L17-2.Dberg,M
Boland,BM7,125,L17-2.Dberg,M
Boland,BM7,30,L18-1.KBK.Gklip,M
Boland,BM5,54,L18-1.KBK.Gklip,M
Boland,BM7,59,L18-1.KBK.Gklip,M
Boland,BF5,83,L18-1.KBK.Gklip,F
Boland,BF5,84,L18-1.KBK.Gklip,F
Boland,BM7,90,L18-1.KBK.Gklip,M
Boland,BM7,94,L18-1.KBK.Gklip,M
Boland,BM5,99,L18-1.KBK.Gklip,M
Boland,BM7,103,L18-1.KBK.Gklip,M
Boland,BM7,107,L18-1.KBK.Gklip,M
Boland,BM7,117,L18-1.KBK.Gklip,M
Boland,BM7,118,L18-1.KBK.Gklip,M
Boland,BM7,128,L18-1.KBK.Gklip,M
Boland,BM7,113,L18-2.Wberg,M
Boland,Partial ID5,113,L18-2.Wberg,NA
Boland,BM4,33,L19-2.Zhoek.S,M
Boland,BF1,64,L19-2.Zhoek.S,F
Boland,BF1,91,L19-2.Zhoek.S,F
Boland,BF1,99,L19-2.Zhoek.S,F
Boland,BM4,129,L19-2.Zhoek.S,M
Boland,BM4,73,L20-1.LMotte,M
Boland,BF1,3,L20-2.Whoek.Bkloof,F
Boland,BF1,4,L20-2.Whoek.Bkloof,F
Boland,BM4,21,L20-2.Whoek.Bkloof,M
Boland,BF1,50,L20-2.Whoek.Bkloof,F
Boland,BM4,69,L20-2.Whoek.Bkloof,M
Boland,BF1,71,L20-2.Whoek.Bkloof,F
Boland,BF1,79,L20-2.Whoek.Bkloof,F
Boland,BM4,85,L20-2.Whoek.Bkloof,M
Boland,BF1,100,L20-2.Whoek.Bkloof,F
Boland,BF3,109,L20-2.Whoek.Bkloof,F
Boland,BM4,109,L20-2.Whoek.Bkloof,M
Boland,BF1,123,L20-2.Whoek.Bkloof,F
Boland,BM4,123,L20-2.Whoek.Bkloof,M
Boland,BF1,126,L20-2.Whoek.Bkloof,F
Boland,BM8,30,L2-1.TTol.R5,M
Boland,BF2,35,L2-1.TTol.R5,F
Boland,BM8,35,L2-1.TTol.R5,M
Boland,BM8,77,L2-1.TTol.R5,M
Boland,BF2,79,L2-1.TTol.R5,F
Boland,BM8,86,L2-1.TTol.R5,M
Boland,BM4,22,L21-2.Whoek.Ohoek,M
Boland,BM4,23,L21-2.Whoek.Ohoek,M
Boland,BM4,25,L21-2.Whoek.Ohoek,M
Boland,BF3,44,L21-2.Whoek.Ohoek,F
Boland,BM4,46,L21-2.Whoek.Ohoek,M
Boland,BF3,62,L21-2.Whoek.Ohoek,F
Boland,BM4,68,L21-2.Whoek.Ohoek,M
Boland,BM4,73,L21-2.Whoek.Ohoek,M
Boland,BM4,80,L21-2.Whoek.Ohoek,M
Boland,BM4,86,L21-2.Whoek.Ohoek,M
Boland,BM4,88,L21-2.Whoek.Ohoek,M
Boland,BM4,91,L21-2.Whoek.Ohoek,M
Boland,BF3,103,L21-2.Whoek.Ohoek,F
Boland,BF3,104,L21-2.Whoek.Ohoek,F
Boland,BM4,104,L21-2.Whoek.Ohoek,M
Boland,BF3,105,L21-2.Whoek.Ohoek,F
Boland,BF3,106,L21-2.Whoek.Ohoek,F
Boland,BM4,107,L21-2.Whoek.Ohoek,M
Boland,BF3,113,L21-2.Whoek.Ohoek,F
Boland,BM4,119,L21-2.Whoek.Ohoek,M
Boland,BM6,82,L2-2.Bkloof,M
Boland,BF2,89,L2-2.Bkloof,F
Boland,BM23,98,L2-2.Bkloof,M
Boland,BM23,104,L2-2.Bkloof,M
Boland,BM8,111,L2-2.Bkloof,M
Boland,BF2,118,L2-2.Bkloof,F
Boland,BM11,120,L2-2.Bkloof,M
Boland,BF21,128,L2-2.Bkloof,F
Boland,BM5,7,L22-1.SGum,M
Boland,BM5,21,L22-1.SGum,M
Boland,BM3,27,L22-1.SGum,M
Boland,BM5,31,L22-1.SGum,M
Boland,BM5,95,L22-1.SGum,M
Boland,BF5,98,L22-1.SGum,F
Boland,BF5,99,L22-1.SGum,F
Boland,BF5,100,L22-1.SGum,F
Boland,BM3,26,L22-2.HNoon.ENest,M
Boland,BM3,49,L22-2.HNoon.ENest,M
Boland,BM5,70,L22-2.HNoon.ENest,M
Boland,BM5,93,L22-2.HNoon.ENest,M
Boland,BM3,95,L22-2.HNoon.ENest,M
Boland,BM5,97,L22-2.HNoon.ENest,M
Boland,BM5,128,L22-2.HNoon.ENest,M
Boland,Partial ID3,63,L23-1.Sttyn.Lkrans,F
Boland,BM3,67,L23-1.Sttyn.Lkrans,M
Boland,Partial ID3,100,L23-1.Sttyn.Lkrans,F
Boland,BM5,102,L23-1.Sttyn.Lkrans,M
Boland,BM5,42,L23-2.Sttyn.boorde,M
Boland,BM5,56,L23-2.Sttyn.boorde,M
Boland,BM3,72,L23-2.Sttyn.boorde,M
Boland,BM5,82,L23-2.Sttyn.boorde,M
Boland,BM5,98,L23-2.Sttyn.boorde,M
Boland,BM5,2,L24-2.KBK.Bpad,M
Boland,BM5,42,L24-2.KBK.Bpad,M
Boland,BM5,54,L24-2.KBK.Bpad,M
Boland,BM3,71,L24-2.KBK.Bpad,M
Boland,BM7,84,L24-2.KBK.Bpad,M
Boland,BM7,129,L24-2.KBK.Bpad,M
Boland,BM8,1,L3-2.LMBtrail,M
Boland,BM8,16,L3-2.LMBtrail,M
Boland,BM8,62,L3-2.LMBtrail,M
Boland,BM8,77,L3-2.LMBtrail,M
Boland,BM8,84,L3-2.LMBtrail,M
Boland,BM2,17,L4-2.Wrivier,M
Boland,BM2,34,L4-2.Wrivier,M
Boland,BM8,50,L4-2.Wrivier,M
Boland,BM8,117,L4-2.Wrivier,M
Boland,BM1,3,L5-1.HValley,M
Boland,BM1,68,L5-1.HValley,M
Boland,BM2,32,L6-1.Bland,M
Boland,BM2,76,L6-1.Bland,M
Boland,BM2 ,117,L6-2.Sbeugel,M
Boland,BM2 ,129,L6-2.Sbeugel,M
Boland,BM1,120,L8-1.DPoort,M
Boland,BM10,21,L9-x.Wrus,M
Boland,BF16,42,L9-x.Wrus,F
Boland,BM10,59,L9-x.Wrus,M
Boland,BM10,100,L9-x.Wrus,M
